beta	opt	optSacMat	optR7	optR7Relative	sim
1.0	0.48470464135021096	-2.007675438596492	0.29751461988304095	-1.8075396825396826	0.7650660103785
0.95	0.4873417721518987	-2.0131578947368425	0.3011695906432748	-1.8174603174603172	0.7717042506106666
0.9	0.48945147679324896	-2.0175438596491233	0.30409356725146197	-1.8253968253968254	0.7758489774115834
0.85	0.48997890295358654	-2.0186403508771935	0.3048245614035088	-1.8273809523809526	0.7629464285715
0.8	0.48997890295358654	-2.0186403508771935	0.3048245614035088	-1.8273809523809523	0.767593864469
0.75	0.48997890295358654	-2.0186403508771935	0.3048245614035088	-1.8273809523809523	0.7682577838828334
0.7	0.48945147679324896	-2.0175438596491233	0.30409356725146197	-1.8253968253968254	0.77488171550675
0.65	0.45464135021097046	-1.9451754385964914	0.2558479532163742	-1.6944444444444444	0.8747405372406667
0.6	0.45200421940928265	-1.9396929824561404	0.25219298245614025	-1.6845238095238093	0.8822191697192502
0.55	0.45200421940928265	-1.9396929824561404	0.25219298245614025	-1.6845238095238093	0.8816849816850834
0.5	0.45200421940928265	-1.9396929824561404	0.25219298245614025	-1.6845238095238093	0.8816849816850834
0.45	0.45200421940928265	-1.9396929824561404	0.25219298245614025	-1.6845238095238093	0.8816849816850834
0.4	0.45200421940928265	-1.9396929824561404	0.25219298245614025	-1.6845238095238093	0.8816849816850834
0.35	0.375	-1.779605263157895	0.18055555555555558	-1.4900793650793653	0.8976104624544167
0.3	0.350210970464135	-1.7280701754385968	0.15789473684210523	-1.4285714285714286	0.8996613629428333
0.25	0.3259493670886076	-1.6776315789473688	0.13596491228070173	-1.3690476190476193	0.8982839209404166
0.2	0.27637130801687765	-1.574561403508772	0.09649122807017542	-1.2619047619047619	0.9136729878919166
0.15	0.04061181434599157	-1.0844298245614035	-0.07529239766081876	-0.7956349206349205	0.9428062678060001
0.1	-0.16033755274261607	-0.6666666666666665	-0.19883040935672505	-0.4603174603174605	0.9679386007510833
0.05	-0.4862869198312236	0.010964912280701814	-0.3757309941520468	0.019841269841269906	0.9935897435897499
0.0	-0.6682489451476794	0.38925438596491263	-0.4524853801169592	0.22817460317460322	0.9903273809523333
