beta	opt	optSacMat	optR7	optR7Relative	sim
0.0	-0.5400641025641026	0.08012820512820513	-0.3876488095238095	-0.013257575757575668	0.9546436202686204
0.05	-0.4230769230769231	-0.15384615384615374	-0.33928571428571436	-0.13636363636363616	0.9810630341880343
0.1	-0.04967948717948717	-0.9006410256410259	-0.13169642857142858	-0.6647727272727273	0.9440549728049729
0.15	0.06677350427350427	-1.1335470085470085	-0.05877976190476187	-0.850378787878788	0.9290616096866096
0.2	0.30074786324786323	-1.601495726495726	0.11383928571428571	-1.2897727272727273	0.9021812678062678
0.25	0.3493589743589744	-1.6987179487179482	0.1532738095238095	-1.390151515151515	0.8908386752136752
0.3	0.36164529914529914	-1.723290598290598	0.1644345238095238	-1.4185606060606062	0.8890873015873016
0.35	0.3744658119658119	-1.7489316239316235	0.1763392857142857	-1.4488636363636365	0.8894421550671551
0.4	0.4775641025641025	-1.955128205128205	0.275297619047619	-1.700757575757576	0.8627747252747251
0.45	0.4775641025641025	-1.955128205128205	0.275297619047619	-1.700757575757576	0.8627747252747251
0.5	0.4775641025641025	-1.955128205128205	0.275297619047619	-1.700757575757576	0.8627747252747251
0.55	0.4759615384615384	-1.9519230769230766	0.2730654761904762	-1.6950757575757576	0.8712606837606837
0.6	0.4759615384615384	-1.9519230769230766	0.2730654761904762	-1.6950757575757576	0.8712606837606837
0.65	0.4759615384615384	-1.9519230769230766	0.2730654761904762	-1.6950757575757576	0.8712606837606837
0.7	0.5069444444444444	-2.013888888888889	0.3162202380952381	-1.8049242424242424	0.7666151556776556
0.75	0.5069444444444444	-2.013888888888889	0.3162202380952381	-1.8049242424242424	0.7648790445665444
0.8	0.5085470085470086	-2.0170940170940166	0.318452380952381	-1.8106060606060608	0.770610119047619
0.85	0.5090811965811965	-2.0181623931623927	0.3191964285714286	-1.8125000000000002	0.775461691086691
0.9	0.5069444444444444	-2.013888888888889	0.3162202380952381	-1.8049242424242429	0.7739230387667888
0.95	0.5069444444444445	-2.0138888888888884	0.3162202380952381	-1.8049242424242429	0.7724349435286936
1.0	0.5042735042735043	-2.0085470085470085	0.31249999999999994	-1.7954545454545456	0.7849626068376069
