beta	opt	optSacMat	optR7	optR7Relative	sim
0.0	0.9442194710003798	-2.88843894200076	-0.17052484787018252	-0.02387518142235103	0.9605857149772936
0.05	0.9494577471048867	-2.8989154942097732	-0.049809837728194716	-0.7148766328011609	0.918220304703644
0.1	0.9494577471048867	-2.8989154942097732	-0.049809837728194716	-0.7148766328011609	0.918220304703644
0.15	0.9494092595136696	-2.8988185190273392	-0.049657707910750505	-0.7157474600870826	0.919069269376432
0.2	0.9495017900002425	-2.8990035800004854	-0.04837728194726165	-0.723076923076923	0.9184832196144695
0.25	0.9495017900002425	-2.8990035800004854	-0.04837728194726165	-0.723076923076923	0.9184832196144695
0.3	0.9495017900002425	-2.8990035800004854	-0.04837728194726165	-0.723076923076923	0.9184832196144695
0.35	0.9498666591241525	-2.8997333182483054	-0.043597870182555766	-0.7504354136429608	0.9171921372815932
0.4	0.9498666591241525	-2.8997333182483054	-0.043597870182555766	-0.7504354136429608	0.9171921372815932
0.45	0.9498666591241525	-2.8997333182483054	-0.043597870182555766	-0.7504354136429608	0.9171921372815932
0.5	0.9498666591241525	-2.8997333182483054	-0.043597870182555766	-0.7504354136429608	0.9171921372815932
0.55	0.9498666591241525	-2.8997333182483054	-0.043597870182555766	-0.7504354136429608	0.9171921372815932
0.6	0.9496472527738943	-2.899294505547789	-0.0455121703853955	-0.7394775036284471	0.916747451255685
0.65	0.9497228126035411	-2.8994456252070826	-0.04484026369168352	-0.7433236574746009	0.917554579469394
0.7	0.9614293333764335	-2.922858666752867	0.3143382352941177	-2.79934687953556	0.8401571197621033
0.75	0.9744183509370228	-2.9488367018740456	0.5878676470588236	-4.365094339622643	0.757174189269932
0.8	0.974371075535586	-2.9487421510711718	0.5877789046653144	-4.3645863570391885	0.7576892174399895
0.85	0.9731132266067576	-2.946226453213515	0.6261029411764706	-4.583962264150945	0.6706215531514094
0.9	0.9733156623000896	-2.946631324600179	0.6300202839756592	-4.606386066763426	0.6951431339296839
0.95	0.9723358088942404	-2.944671617788481	0.5969193711967546	-4.41690856313498	0.70924321686721
1.0	0.992858990003475	-2.9857179800069495	0.8550583164300203	-5.894557329462993	0.6992835731231167
