beta	opt	optSacMat	optR7	optR7Relative	sim
1.0	0.9756755883113526	0.03333647155487464	0.6564258555133079	-4.763953488372091	0.6777552569520999
0.95	0.9731631432635117	0.03067554498069992	0.597743979721166	-4.427470930232557	0.6988832108678001
0.9	0.9743151183087665	0.03189559992810618	0.6210519645120406	-4.56111918604651	0.6949612506734001
0.85	0.9741159167313163	0.03168462585266904	0.6118377693282636	-4.508284883720929	0.6949559913774002
0.8	0.974626244504784	0.032225113189945136	0.6397591888466414	-4.668386627906975	0.7753822019607
0.75	0.9746181633048876	0.03221655440392335	0.6395057034220533	-4.6669331395348825	0.7751509394942999
0.7	0.9609035589604342	0.0176914386463424	0.3164892268694551	-2.814752906976744	0.8316952016879
0.65	0.9488969162141195	0.004975222314466899	-0.0606337135614702	-0.652325581395349	0.9063013240533999
0.6	0.9489704551331781	0.005053107267265195	-0.059999999999999984	-0.6559593023255814	0.9063358409910001
0.55	0.9489082298939747	0.004987204614897407	-0.060304182509505665	-0.65421511627907	0.9055090600248
0.5	0.9488973202741142	0.004975650253767991	-0.0606463878326996	-0.6522529069767444	0.9062269281776001
0.45	0.9488973202741142	0.004975650253767991	-0.0606463878326996	-0.6522529069767444	0.9062269281776001
0.4	0.9488973202741142	0.004975650253767991	-0.0606463878326996	-0.6522529069767444	0.9062269281776001
0.35	0.9488803497543316	0.0049576768031222304	-0.061178707224334584	-0.649200581395349	0.9056817358893999
0.3	0.9488973202741142	0.004975650253767991	-0.0606463878326996	-0.6522529069767444	0.9062269281776001
0.25	0.9488973202741142	0.004975650253767991	-0.0606463878326996	-0.6522529069767444	0.9062269281776001
0.2	0.9487999418153608	0.004872516882205407	-0.06038022813688213	-0.6537790697674419	0.9093739310553
0.15	0.9487833753555728	0.0048549713708607375	-0.06089987325728772	-0.6507994186046512	0.9085872900749999
0.1	0.9487999418153608	0.004872516882205407	-0.06038022813688213	-0.6537790697674419	0.9093739310553
0.05	0.9487187257564003	0.004786501082686402	-0.06128010139416984	-0.6486191860465118	0.9093329333386
0.0	0.9484257822601497	0.004476245089396495	-0.06377693282636247	-0.6343023255813954	0.9172791319149999
