beta	sim	optR7	lowerboundOpt	upperboundOpt	lowerboundSim	upperboundSim	x95	y95
0.0	0.9940340909090909	-1.2874015748031493	-1.2929400452859365	-1.281863104320362	0.9909187426786688	0.997149439139513	-1.2992125984251968	1.0	 
0.1	0.9592916156472335	-0.875984251968504	-0.9672504680865122	-0.7847180358504959	0.9466362690170218	0.9719469622774453	-0.5669291338582678	0.9091269841269841	0.1
0.2	0.8900579083614798	-0.2532808398950131	-0.3085949113334001	-0.1979667684566261	0.8693162210356136	0.910799595687346	-0.03937007874015741	0.8584467120181405	0.2
0.3	0.8642402339723768	-0.12007874015748027	-0.15760041999963498	-0.08255706031532556	0.8409838633490316	0.887496604595722	-0.25196850393700787	0.9049603174603175	0.3
0.4	0.8434586511372225	0.0032808398950131545	-0.04001595432382963	0.04657763411385594	0.8236313661575595	0.8632859361168855	-0.15748031496062986	0.8250412286126572	0.4
0.5	0.8241913895187705	0.08464566929133858	0.06435152341036968	0.1049398151723075	0.8025633798567402	0.8458193991808007	-0.015748031496062964	0.8950396825396825	0.5-0.7
0.6	0.8260550516502896	0.09448818897637797	0.08498979045986252	0.10398658749289341	0.8033800227351139	0.8487300805654653	0.10236220472440949	0.7577097505668935	 
0.7	0.8243890148652052	0.09251968503937008	0.08338441786757088	0.10165495221116928	0.8023115993057538	0.8464664304246566	0.10236220472440949	0.7577097505668935	 
0.8	0.7296695877425043	0.19553805774278218	0.17283443464830509	0.21824168083725928	0.7088447247879035	0.7504944506971052	0.13385826771653542	0.8003968253968254	 
0.9	0.7171420304232804	0.19619422572178483	0.1779278068269026	0.21446064461666706	0.6946536291865238	0.739630431660037	0.16535433070866146	0.6357142857142857	0.8-0.9
1.0	0.6472194664902997	0.19291338582677173	0.17188778442146446	0.213938987232079	0.6262868031352723	0.6681521298453271	0.16535433070866146	0.5834656084656085	1
