beta	sim	optR7	lowerboundOpt	upperboundOpt	lowerboundSim	upperboundSim	x95	y95
0.0	0.9639822193834799	-0.5530671736375158	-0.5580619222136389	-0.5480724250613926	0.9611886446444746	0.9667757941224853	-0.5697084917617237	0.9650776977457651	0
0.1	0.9071935894500422	-0.3596324461343473	-0.3723480122259326	-0.346916880042762	0.8986064425151851	0.9157807363848994	-0.31939163498098866	0.8921123276652122	 
0.2	0.9074062334833608	-0.3599873257287706	-0.37290080469499315	-0.3470738467625481	0.8989046162984895	0.9159078506682321	-0.31939163498098866	0.8921123276652122	 
0.3	0.9073938694454657	-0.3583650190114069	-0.3716700585014707	-0.34505997952134304	0.8970193528385227	0.9177683860524087	-0.31939163498098866	0.8921123276652122	 
0.4	0.9073938694454657	-0.3583650190114069	-0.3716700585014707	-0.34505997952134304	0.8970193528385227	0.9177683860524087	-0.31939163498098866	0.8921123276652122	 
0.5	0.9048482251810596	-0.36013941698352336	-0.37160507239971297	-0.34867376156733376	0.8948261788174381	0.914870271544681	-0.39214195183776934	0.9086032366063452	 
0.6	0.9067974987768773	-0.3601013941698352	-0.37154960698404166	-0.3486531813556288	0.8959845356208146	0.91761046193294	-0.39214195183776934	0.9086032366063452	 
0.7	0.9054212051754137	-0.3593282636248415	-0.37053854253258217	-0.3481179847171008	0.8956413085290307	0.9152011018217967	-0.39214195183776934	0.9086032366063452	 
0.8	0.746466959597201	0.4766920152091255	0.4139784143786091	0.539405616039642	0.7016842341237685	0.7912496850706335	0.34423320659062107	0.6406597036414716	0.8
0.9	0.7495888969414002	0.40045627376425863	0.24406879871992318	0.5568437488085941	0.6960222429683816	0.8031555509144188	-0.25994930291508234	0.8262814835681549	0.9
1.0	0.6861671653384578	0.8457414448669202	0.8348187810025334	0.8566641087313069	0.6718136245920208	0.7005207060848948	0.8201520912547529	0.6369027051996945	1
