beta	sim	optR7	lowerboundOpt	upperboundOpt	lowerboundSim	upperboundSim	x95	y95
0.0	0.9989209133945977	-0.7273652882205512	-0.7275969683958691	-0.7271336080452334	0.9978935966304939	0.9999482301587014	-0.7269345238095237	0.9930555555555556	0
0.1	0.844806226237266	-0.29072681704260644	-0.33184664564099736	-0.24960698844421553	0.8306936405502854	0.8589188119242466	-0.09300595238095233	0.765846056627168	0.1
0.2	0.7922523363244097	-0.1297775689223057	-0.1749687483559974	-0.08458638948861404	0.7741002651143513	0.8104044075344682	-0.32738095238095233	0.8598662320486514	0.2
0.3	0.7742561613437452	-0.07299498746867168	-0.1150480564181754	-0.030941918519167957	0.7570706407344809	0.7914416819530095	-0.30952380952380953	0.8765511702492614	0.3
0.4	0.7592267238964682	-0.04303728070175438	-0.0659291681931454	-0.02014539321036336	0.748131251312835	0.7703221964801014	-0.19270833333333326	0.8191042533273982	0.4
0.5	0.6184063050814861	0.4373825187969925	0.4279017035908467	0.4468633340031383	0.6098292651115979	0.6269833450513743	0.38764880952380953	0.5910923489206157	 
0.6	0.6184622999868578	0.4371867167919799	0.42768097539114597	0.44669245819281383	0.6098241992631492	0.6271004007105663	0.38764880952380953	0.5910923489206157	 
0.7	0.6417994359202471	0.42132675438596495	0.40942534118937113	0.4332281675825588	0.6286775894142012	0.6549212824262931	0.35639880952380953	0.6278280783840715	 
0.8	0.6425558219221399	0.42614348370927324	0.41628038749046464	0.43600657992808184	0.6295224060117538	0.655589237832526	0.4397321428571429	0.6978205232061849	 
0.9	0.6440191323342843	0.41995614035087714	0.40831652055965234	0.43159576014210194	0.631768438610941	0.6562698260576276	0.35639880952380953	0.6278280783840715	 
1.0	0.719304753092231	0.5298793859649122	0.5268677610296217	0.5328910109002027	0.7084454090623854	0.7301640971220765	0.5186011904761905	0.6679227193631729	 
