index_time	timeout	AvgRoleNumber	AvgAssignments	Similarity	Opt	Opt7	Opt7Relative
1	10	57.05263157894737	1051.2631578947369	0.6881188502390462	0.38514160828692895	-0.07933897243107768	-0.8886601463166801
2	20	53.526315789473685	1072.7894736842106	0.7329681183889502	0.4383420154481768	-0.07698934837092732	-0.8919574766330666
3	30	53.63157894736842	1147.2105263157894	0.755084602965813	0.42677085204478776	-0.13291040100250626	-0.8134810151030659
4	40	53.36842105263158	1186.7368421052631	0.7655410193939745	0.4252739356924735	-0.1609492481203008	-0.7741328733275195
5	50	53.89473684210526	1196.6842105263158	0.767768641043268	0.41585084725465543	-0.1710917919799499	-0.7598993974617841
6	60	53.94736842105263	1210.2105263157894	0.7650001049332298	0.413276151128675	-0.18143013784461154	-0.7453911440696832
7	70	53.421052631578945	1219.421052631579	0.768616345990471	0.4195856535536795	-0.18554197994987473	-0.7396208160160067
8	80	53.68421052631579	1246.9473684210527	0.7765214033155367	0.41168193521346036	-0.2073934837092732	-0.7089556440736114
9	90	53.63157894736842	1256.8947368421052	0.7791148670679374	0.41076881623854855	-0.21452067669172936	-0.6989537421139055
10	100	53.0	1270.9473684210527	0.7846841755370967	0.4185303275252979	-0.22168703007518792	-0.6888968846489263
11	110	53.1578947368421	1288.4736842105262	0.7919604368916481	0.41393479432369323	-0.2355498120300752	-0.6694426357822456
12	120	52.73684210526316	1293.2105263157894	0.795239525421177	0.4195332614813484	-0.23688126566416048	-0.6675741486029599
13	130	52.421052631578945	1297.421052631579	0.7972020735025176	0.422856415783486	-0.23836936090225566	-0.6654858394025818
14	140	53.1578947368421	1319.578947368421	0.8016374264237344	0.40901742410634095	-0.25869360902255645	-0.6369639321658378
15	150	53.31578947368421	1340.5263157894738	0.8095651134609426	0.40306718160589183	-0.2751018170426065	-0.6139375754564049
16	160	53.1578947368421	1344.842105263158	0.81124948433648	0.4047212741751991	-0.2774906015037594	-0.6105852896347452
17	170	53.421052631578945	1349.157894736842	0.8123039494931344	0.40002844141069405	-0.28207236842105265	-0.6041554955177914
18	180	53.421052631578945	1349.157894736842	0.8123039494931344	0.40002844141069405	-0.28207236842105265	-0.6041554955177914
19	190	53.421052631578945	1349.157894736842	0.8123039494931344	0.40002844141069405	-0.28207236842105265	-0.6041554955177914
20	200	53.421052631578945	1349.157894736842	0.8123039494931344	0.40002844141069405	-0.28207236842105265	-0.6041554955177914
21	210	53.1578947368421	1346.6315789473683	0.8131863146491142	0.4040177234896114	-0.2788220551378446	-0.6087168024554593
22	220	53.526315789473685	1368.0	0.8185757830968156	0.39579216813364476	-0.29664003759398494	-0.5837120475561947
23	230	53.0	1361.5263157894738	0.8174100559802279	0.404496736722352	-0.28908208020050125	-0.5943184600739047
24	240	53.0	1361.5263157894738	0.8174100559802279	0.404496736722352	-0.28908208020050125	-0.5943184600739047
25	250	53.0	1361.5263157894738	0.8174100559802279	0.404496736722352	-0.28908208020050125	-0.5943184600739047
26	260	53.526315789473685	1379.2631578947369	0.8227656269195215	0.39434015927189997	-0.30502036340852134	-0.5719515694277492
27	270	53.73684210526316	1387.1052631578948	0.8267191357127023	0.38993174061433455	-0.31195175438596495	-0.5622244449944087
28	280	53.89473684210526	1410.421052631579	0.8335798447819555	0.385141608286929	-0.33012218045112784	-0.5367250905476858
29	290	54.68421052631579	1430.5263157894738	0.8402967284256218	0.37049428177953425	-0.34919329573934843	-0.5099617594796815
30	300	54.94736842105263	1438.6315789473683	0.8415789199258313	0.36533740494581174	-0.3565946115288221	-0.4995751689830638
31	310	54.94736842105263	1438.6315789473683	0.8415789199258313	0.36533740494581174	-0.3565946115288221	-0.4995751689830638
32	320	54.94736842105263	1443.1052631578948	0.8424370780508283	0.3647012154960782	-0.35992324561403516	-0.49490395103484947
33	330	55.05263157894737	1453.5263157894738	0.845369295345742	0.3615726603197414	-0.36822525062656647	-0.48325338391695033
34	340	55.05263157894737	1453.5263157894738	0.845369295345742	0.3615726603197414	-0.36822525062656647	-0.48325338391695033
35	350	55.05263157894737	1453.8947368421052	0.845650387089809	0.3615202682474104	-0.36849937343358397	-0.4828686953800385
36	360	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
37	370	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
38	380	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
39	390	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
40	400	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
41	410	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
42	420	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
43	430	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
44	440	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
45	450	54.78947368421053	1453.6315789473683	0.8464760726528668	0.36563678821627454	-0.36693295739348375	-0.48506691559096293
46	460	54.94736842105263	1454.6842105263158	0.8491396041996019	0.36308454583557875	-0.3685385338345865	-0.4828137398747654
47	470	54.94736842105263	1454.6842105263158	0.8491396041996019	0.36308454583557875	-0.3685385338345865	-0.4828137398747654
48	480	54.94736842105263	1454.6842105263158	0.8491396041996019	0.36308454583557875	-0.3685385338345865	-0.4828137398747654
49	490	54.89473684210526	1454.3157894736842	0.8503910330897394	0.363952757319921	-0.36799028822055146	-0.4835831169485889
50	500	54.89473684210526	1454.3157894736842	0.8503910330897394	0.363952757319921	-0.36799028822055146	-0.4835831169485889
51	510	54.89473684210526	1454.3157894736842	0.8503910330897394	0.363952757319921	-0.36799028822055146	-0.4835831169485889
52	520	54.89473684210526	1454.3157894736842	0.8503910330897394	0.363952757319921	-0.36799028822055146	-0.4835831169485889
53	530	54.68421052631579	1453.7368421052631	0.8510907387178461	0.36744805700257477	-0.3664630325814537	-0.48572638165424015
54	540	54.68421052631579	1453.7368421052631	0.8510907387178461	0.36744805700257477	-0.3664630325814537	-0.48572638165424015
55	550	54.68421052631579	1453.7368421052631	0.8510907387178461	0.36744805700257477	-0.3664630325814537	-0.48572638165424015
56	560	54.526315789473685	1451.3157894736842	0.8513133121779684	0.3701948985090714	-0.36383928571428575	-0.4894084005075385
57	570	54.578947368421055	1451.7894736842106	0.8512133633917716	0.36934165618825227	-0.3644658521303258	-0.48852911242316877
58	580	54.578947368421055	1451.7894736842106	0.8512133633917716	0.36934165618825227	-0.3644658521303258	-0.48852911242316877
