beta	avgrolnumber	avgassigns	avgopt	avgsim	avginitrolenumber	avginitassigns	avginitopt
0.0	54.44444444444444	4384.555555555556	0.39588634411428597	0.9160551371224103	54.0	4364.555555555556	0.398816353485065
0.1	65.77777777777777	3941.8888888888887	0.4419438850716984	0.7497290957558553	54.0	4364.555555555556	0.398816353485065
0.2	63.333333333333336	3885.777777777778	0.45122605692523315	0.7556192656968509	54.0	4364.555555555556	0.398816353485065
0.3	65.11111111111111	4022.3333333333335	0.43233901149522413	0.7451789709554782	54.0	4364.555555555556	0.398816353485065
0.4	63.55555555555556	3840.777777777778	0.45673323945127414	0.7440981694582377	54.0	4364.555555555556	0.398816353485065
0.5	63.55555555555556	3002.5555555555557	0.5629885637413387	0.6662637411665133	54.0	4364.555555555556	0.398816353485065
0.6	62.77777777777778	2638.1111111111113	0.609879182271895	0.6405980581245354	54.0	4364.555555555556	0.398816353485065
0.7	65.66666666666667	2027.888888888889	0.684667282705186	0.5858469883383134	54.0	4364.555555555556	0.398816353485065
0.8	69.11111111111111	4523.111111111111	0.36530338200818985	0.6503918494919884	54.0	4364.555555555556	0.398816353485065
0.9	67.88888888888889	2341.3333333333335	0.6429637411472049	0.6158080819489511	54.0	4364.555555555556	0.398816353485065
1.0	28.0	1256.0	0.8159399370514253	0.5331932559525003	54.0	4364.555555555556	0.398816353485065
