beta	opt	optSacMat	optR7	optR7Relative	sim
1.0	0.6030701754385964	21.557390817469212	0.29570018796992487	-1.415712398150187	0.6201852480849473
0.95	0.7085728399497035	25.50363941769318	0.42124843358395986	-1.5922153710636426	0.6387731016857369
0.9	0.7096131968145619	25.54255319148937	0.4209743107769424	-1.591829993393526	0.6384836568615789
0.85	0.7094635051793305	25.53695408734604	0.4231672932330826	-1.5949130147544595	0.6421298082002106
0.8	0.7107433686605592	25.584826427771564	0.4240679824561404	-1.5961792556705574	0.6394004030141579
0.75	0.7100398179749715	25.55851063829788	0.4232064536340852	-1.5949680687073335	0.6390368637927368
0.7	0.7110801748398299	25.597424412094075	0.4229323308270677	-1.594582691037217	0.638747418968579
0.65	0.7117837255254177	25.623740201567756	0.4237938596491229	-1.5957938780004408	0.63911095819
0.6	0.7325758936590624	26.40145576707728	0.44055451127819534	-1.6193569698304338	0.6205500080868421
0.55	0.7323812945332615	26.394176931690943	0.43953634085213017	-1.6179255670557147	0.6214973714715264
0.5	0.7321343033351296	26.384938409854435	0.43824404761904745	-1.616108786610879	0.621640614141737
0.45	0.6437638464762588	23.079507278835393	0.20825501253132833	-1.292776921382955	0.668293745469421
0.4	0.5550790371834022	19.762318029115352	-0.04781484962406015	-0.9327791235410702	0.7418646345619473
0.35	0.560475420633495	19.964165733482655	-0.04205827067669174	-0.9408720546135211	0.7419888555754209
0.3	0.5589710196994192	19.907894736842117	-0.043585526315789484	-0.9387249504514422	0.7420569022953157
0.25	0.5518681516076882	19.642217245240772	-0.05787907268170427	-0.9186302576524995	0.7462321946896315
0.2	0.5439270103586612	19.34518477043674	-0.0824326441102757	-0.8841114292006165	0.7525493275426317
0.15	0.5238982695646968	18.59602463605824	-0.1304432957393484	-0.8166152829773177	0.7713547021202631
0.1	0.4034863181845399	14.092105263157897	-0.32859492481203006	-0.5380422814358071	0.844260887572
0.05	0.36730584994910487	12.738801791713328	-0.3668937969924812	-0.48419951552521473	0.8557364225009473
0.0	0.0275881683731513	0.031914893617021454	-0.6424655388471178	-0.09678484915216899	0.9062499361272105
